[u'bottle']
[u'tumbler']
[u'tub']
[u'toy']
[u'tool']
[u'sports water bottle']
[u'saucer']
[u'plate']
[u'pitcher']
[u'mug']
[u'jug']
[u'jar']
[u'glass']
[u'funnel']
[u'drill']
[u'cup']
[u'container']
[u'carton']
[u'can']
[u'box']
[u'bowl']
